EMPRESA,LOCACION,CONTACTO
RENTAL PERU AUDIOVISUAL,"Av. Aviacion 3388, San Borja, Peru",961 566 449
E2 PERU,"Tintoretto 159, San Borja 15037",935 984 407
PERU CINE RENTAL,"Calle Arica 329- Miraflores, Lima - PerU",980 727 628
